Lake Ecosystem,State,Lat,Lon
Eagle Lake,California,40.67589,-120.744274
Honey Lake,California,40.2271596,-120.3960604
Mono Lake,California,38.006769,-119.0313375
Goose Lake,California/Oregon,43.8530513,-122.1649408
Carson Lake,Nevada,39.3232962,-118.7733834
Carson Sink,Nevada,39.9335398,-118.3230622
Franklin Lake,Nevada,40.6520381,-115.7639118
Pyramid Lake,Nevada,40.0230952,-119.6265468
Ruby Lake,Nevada,40.12046,-115.5133539
Walker Lake,Nevada,38.7717787,-118.7475643
Winnemucca Lake,Nevada,40.1218659,-119.348378
Lake Abert,Oregon,42.546859,-120.214547
Harney Lake,Oregon,43.23694,-119.10889
Malheur Lake,Oregon,43.3327367,-119.0349577
Silver Lake,Oregon,43.096111,-120.888056
Summer Lake,Oregon,42.820838,-120.747295
Warner Lake,Oregon,42.4394071,-119.8671034
Great Salt Lake,Utah,41.1819619,-112.7600956
Sevier Lake,Utah,38.9193846,-113.1783783
Owens Lake,California,36.43523,-117.96007